Sta,Lon,Lat,de(m),dn(m),du(m),sde(m),sdn(m),sdu(m)
AB02,-168.8547,52.9706,0.00063,-0.00362,0.00425,0.00047,0.00057,0.00181
AB07,-160.4768,55.3493,0.04735,-0.01147,-0.01305,0.00047,0.00057,0.0018
AB08,-166.2009,60.3848,0.00269,-0.00476,-0.00235,0.00055,0.00066,0.00208
AB09,-168.0621,65.615,0.00089,-0.00019,-0.00105,0.00052,0.00063,0.002
AB13,-158.5038,56.3073,0.24689,-0.35702,-0.06892,0.00048,0.00058,0.00183
AB14,-159.0915,59.1082,0.00628,-0.02266,0.00132,0.00049,0.00059,0.00187
AB17,-160.6947,63.8864,-0.00127,-0.00448,-0.00623,0.00051,0.00061,0.00193
AB28,-152.8149,62.0938,-0.00359,-0.0009,-0.00209,0.00049,0.00059,0.00186
AB33,-150.1725,67.251,-0.00345,-0.00154,-0.01208,0.00056,0.00067,0.00213
AB35,-142.3899,60.0791,-0.00085,0.00133,-0.00307,0.00048,0.00058,0.00182
AB39,-145.2126,66.5593,-0.00279,0.00023,-0.00322,0.00058,0.00069,0.0022
AB43,-136.6408,58.1988,-0.00113,-0.00124,0.0015,0.00051,0.00062,0.00196
AB45,-148.8712,68.7605,-0.00219,0.00027,0.00663,0.00057,0.00069,0.00218
AB49,-133.0685,55.5801,-0.001,-0.00083,0.00245,0.00049,0.00059,0.00186
AB50,-134.5453,58.4168,-0.00218,0.00126,0.00455,0.00055,0.00066,0.00208
AB51,-132.9136,56.7976,-0.00241,0.00177,-0.00222,0.00048,0.00058,0.00183
AB53,-132.8672,56.5848,-0.00198,0.00119,-0.00228,0.00047,0.00057,0.00179
AC03,-151.8645,59.7706,-0.00263,-0.00243,-0.00367,0.00053,0.00064,0.00203
AC06,-150.8906,59.7636,0.0008,-0.00286,-0.00596,0.00035,0.00042,0.00134
AC07,-161.2866,65.9613,-0.01419,-0.00281,-0.00137,0.00053,0.00063,0.00201
AC08,-153.6447,58.9288,-0.00288,-0.00552,0.00312,0.00048,0.00057,0.00181
AC11,-148.3317,61.8071,-0.00267,0.00103,0.005,0.00049,0.00059,0.00186
AC12,-159.5896,54.831,-0.01434,-0.01677,-0.01889,0.00047,0.00057,0.0018
AC14,-147.9996,60.8487,-0.00109,0.00132,-0.00286,0.00049,0.00059,0.00188
AC15,-149.724,60.4813,-0.00344,0.00137,0.00293,0.00066,0.0008,0.00254
